green,red,IR,acc_x,acc_y,acc_z,sample_index
99993,171359,237300,-1.2610175101999999,1.1198409768,9.8249295956,1
100086,171350,237328,-1.160518961,1.1557333158,9.8189475391,2
100190,171381,237318,-1.1306086785,1.1700902514,9.7603233854,3
100488,171390,237327,-1.2550354537,1.1629117836,9.8153583052,4
100506,171412,237353,-1.1186445655,1.1138589203,9.8189475391,5
100789,171449,237393,-1.3627124707,1.1617153723,9.8333044747,6
100853,171397,237385,-1.1700902514,1.1521440819,9.8476614103,7
101082,171479,237372,-1.1198409768,1.1102696864,9.8010013696,8
101258,171481,237393,-1.2358928729,1.2071790017,9.7340023368,9
101382,171477,237436,-1.1952148887,1.1904292435000001,9.9122676205,10
101693,171502,237466,-1.1856435983,1.0181460163,9.798608546999999,11
101855,171517,237495,-1.0803594039,1.1078768638,9.980463064599999,12
102058,171434,237486,-1.2430713407,1.1078768638,9.8285188295,13
102271,171566,237484,-1.1150553316,1.2119646469,9.7878408453,14
102520,171572,237513,-1.1988041226,1.064806057,9.8380901199,15
102672,171553,237547,-1.1042876299,1.1030912186,9.8668039911,16
102897,171592,237550,-1.2011969452,1.0935199281999999,9.7890372566,17
103070,171572,237566,-1.2418749294,1.1186445655,9.8775716928,18
103053,171621,237574,-1.064806057,1.2909277927,9.858429112,19
102544,171521,237532,-1.2705888006,1.0839486378,9.8153583052,20
101770,171480,237430,-1.1449656141,1.1150553316,9.7794659662,21
101125,171337,237421,-1.1102696864,1.1904292435000001,9.741180804599999,22
100638,171377,237363,-1.148554848,1.0037890807,9.7950193131,23
100312,171340,237318,-1.1748758966000001,1.0875378717,9.870393225,24
100080,171313,237271,-1.304088317,1.1557333158,9.834500886,25
100070,171272,237300,-1.3148560187,1.1150553316,9.822536773,26
100257,171311,237283,-1.1246266219999999,1.1449656141,9.8333044747,27
100406,171296,237285,-1.3316057769,1.1222337994,9.8177511278,28
100723,171323,237290,-1.1772687192,1.2335000503,9.799804958300001,29
100861,171331,237317,-1.1952148887,1.2011969452,9.844072176400001,30
101157,171357,237351,-1.1078768638,1.088734283,9.7663054419,31
101295,171351,237299,-1.0444670649,1.1964113,9.812965482600001,32
101570,171396,237343,-1.1676974288,1.0540383553,9.8751788702,33
101775,171422,237376,-1.2418749294,1.0755737587,9.8368937086,34
102006,171460,237368,-1.136590735,1.0420742423,9.8931250397,35
102229,171394,237381,-1.2131610582,1.1569297271,9.7962157244,36
102463,171448,237449,-1.1940184774,1.2167502921,9.8847501606,37
102752,171518,237437,-1.1653046062,1.2107682356,9.8033941922,38
102888,171485,237445,-1.1090732750999999,1.1150553316,9.8416793538,39
103149,171508,237462,-1.1425727915,1.2071790017,9.8010013696,40
103413,171519,237469,-1.0612168231,1.1700902514,9.7770731436,41
103580,171526,237490,-1.136590735,1.1629117836,9.7232346351,42
103834,171514,237502,-1.1461620254,1.1760723079,9.8356972973,43
103787,171547,237482,-1.052841944,1.1557333158,9.7363951594,44
103353,171528,237457,-1.1222337994,1.2777672683999999,9.8297152408,45
102648,171442,237453,-1.2478569859,1.1916256548,9.8177511278,46
102176,171383,237363,-1.0325029519,1.1856435983,9.7962157244,47
101711,171327,237320,-1.2418749294,1.0911271056,9.8033941922,48
101403,171303,237298,-1.256231865,1.2502498085,9.8907322171,49
101272,171288,237255,-1.1820543644000001,1.2299108163999999,9.858429112,50
101292,171210,237252,-1.0516455327,1.1006983959999999,9.909874797899999,51
101499,171259,237169,-1.0683952909,1.1425727915,9.7938229018,52
101714,171285,237185,-1.1186445655,1.3435698899,9.7519485063,53
101933,171277,237251,-1.2466605746,1.1988041226,9.8177511278,54
102150,171283,237222,-1.256231865,1.2035897678,9.8153583052,55
102423,171309,237223,-1.1772687192,1.1054840412,9.8428757651,56
102551,171287,237241,-1.2406785181,1.0971091621,9.8608219346,57
102902,171290,237237,-1.2430713407,1.2059825904,9.9744810081,58
103106,171320,237200,-1.1090732750999999,1.2275179938,9.7914300792,59
103376,171352,237256,-1.0695917021999999,1.2299108163999999,9.767501853199999,60
103655,171284,237241,-1.2251251712,1.1868400096,9.858429112,61
103912,171345,237232,-1.0552347666,1.2669995667,9.745966449800001,62
104204,171370,237307,-1.2071790017,1.208375413,9.865607579799999,63
104342,171421,237250,-1.2119646469,1.2167502921,9.8380901199,64
104710,171420,237256,-1.0217352502000001,1.1748758966000001,9.7196454012,65
104911,171439,237274,-1.2131610582,1.2981062605,9.8189475391,66
105242,171429,237347,-1.1258230332999999,1.2167502921,9.8297152408,67
105468,171430,237304,-1.2239287599,1.2586246876,9.7842516114,68
105446,171450,237362,-1.2071790017,1.1916256548,9.774680321,69
104958,171378,237286,-1.2023933565,1.1569297271,9.7794659662,70
104438,171350,237211,-1.1437692028,1.2502498085,9.7531449176,71
103959,171304,237170,-1.160518961,1.2131610582,9.8333044747,72
103611,171321,237177,-1.1700902514,1.2550354537,9.8069834261,73
103412,171253,237118,-1.1174481541999999,1.2634103328,9.865607579799999,74
103338,171133,237084,-1.0875378717,1.3172488413,9.7172525786,75
103444,171226,237100,-1.0995019847,1.2957134379000002,9.8285188295,76
103586,171245,237126,-1.1282158559,1.2813565023,9.8141618939,77
103793,171296,237165,-1.0911271056,1.2179467034,9.9026963301,78
103922,171347,237205,-1.1461620254,1.2610175101999999,9.7304131029,79
104027,171316,237148,-1.1353943237,1.0671988796,9.8057870148,80
104291,171382,237216,-1.148554848,1.280160091,9.8273224182,81
104415,171377,237284,-1.1653046062,1.2299108163999999,9.8309116521,82
104575,171396,237313,-1.0683952909,1.232303639,9.919446088299999,83
104765,171435,237292,-1.1318050897999998,1.1988041226,9.6957171752,84
104912,171495,237344,-1.2251251712,1.1988041226,9.93021379,85
105083,171461,237362,-1.1389835576,1.3076775509,9.8321080634,86
105255,171385,237388,-1.2466605746,1.2406785181,9.945767136899999,87
105461,171574,237438,-1.2669995667,1.2358928729,9.9385886691,88
105589,171469,237495,-1.1964113,1.1796615418,9.8033941922,89
105763,171569,237440,-1.0420742423,1.136590735,9.8608219346,90
105933,171578,237470,-0.9523433948,1.160518961,9.7399843933,91
106122,171583,237485,-1.1868400096,1.1916256548,9.714859756,92
105911,171577,237478,-1.1270194446,1.1150553316,9.8165547165,93
105581,171577,237452,-1.2490533972,1.184447187,9.869196813699999,94
104916,171483,237433,-1.1078768638,1.172483074,9.8177511278,95
104411,171465,237373,-1.2179467034,1.1952148887,9.8488578216,96
103939,171413,237344,-1.2311072277,1.1437692028,9.8010013696,97
103557,171330,237315,-1.3076775509,1.1641081949,9.774680321,98
103362,171339,237230,-1.2155538808,1.2059825904,9.8177511278,99
103299,171326,237258,-1.172483074,1.1545369045,9.726823869,100
103377,171340,237241,-1.2167502921,1.1294122672,9.8321080634,101
103555,171361,237260,-1.1413763801999999,1.1832507757,9.846464999,102
103711,171380,237256,-1.2478569859,1.1700902514,9.9074819753,103
103859,171312,237309,-1.2490533972,1.1736794853,9.6897351187,104
104064,171410,237295,-1.1629117836,1.1449656141,9.8297152408,105
104129,171419,237290,-1.136590735,1.1054840412,9.811769071299999,106
104360,171449,237342,-1.2885349701,1.172483074,9.888339394499999,107
104556,171437,237324,-1.1820543644000001,1.1916256548,9.7950193131,108
104693,171458,237329,-1.2729816232,1.1712866627,9.8356972973,109
104940,171519,237348,-1.0911271056,1.1413763801999999,9.8763752815,110
105143,171509,237377,-1.0719845248,0.9296115801,9.8799645154,111
105413,171553,237397,-1.2490533972,1.1270194446,9.7770731436,112
105496,171548,237393,-1.0995019847,1.2000005339,9.8177511278,113
105761,171568,237441,-1.1736794853,0.9990034355,9.870393225,114
105915,171595,237423,-1.184447187,1.0241280728,9.8416793538,115
106079,171559,237446,-1.2251251712,1.2059825904,9.7926264905,116
106209,171616,237438,-1.2658031554,1.1389835576,9.8057870148,117
106010,171589,237448,-1.160518961,1.2191431147,9.767501853199999,118
105469,171523,237385,-1.1856435983,1.1700902514,9.7698946758,119
104793,171419,237345,-1.2263215825,1.1102696864,9.8596255233,120
104174,171434,237263,-1.184447187,1.0504491214,9.857232700700001,121
103686,171333,237238,-1.1425727915,1.1856435983,9.8309116521,122
103297,171357,237214,-1.3495519463999999,1.0959127508,9.762716208,123
103061,171314,237160,-1.1772687192,1.1856435983,9.812965482600001,124
103012,171312,237159,-1.2825529136,1.2023933565,9.8261260069,125
103146,171309,237182,-1.1641081949,1.1054840412,9.8045906035,126
103300,171334,237164,-1.2969098492,1.1222337994,9.8309116521,127
103441,171360,237211,-1.220339526,1.1318050897999998,9.8237331843,128
103592,171318,237177,-1.2275179938,1.2047861791,9.7842516114,129
103755,171370,237208,-1.208375413,1.0193424276,9.774680321,130
103925,171355,237227,-1.2418749294,1.1952148887,9.7938229018,131
104097,171402,237186,-1.2000005339,1.172483074,9.8201439504,132
104268,171378,237231,-1.1784651305,1.0600204118,9.846464999,133
104452,171331,237247,-1.208375413,1.2669995667,9.8380901199,134
104675,171479,237256,-1.1581261384000001,1.2047861791,9.7770731436,135
104855,171495,237311,-1.2693923893,1.1174481541999999,9.774680321,136
105023,171460,237300,-1.1521440819,1.0552347666,9.7722874984,137
105249,171524,237277,-1.2969098492,1.2861421475,9.8727860476,138
105393,171488,237323,-1.1174481541999999,1.1174481541999999,9.8273224182,139
105495,171525,237350,-1.136590735,1.1748758966000001,9.812965482600001,140
105775,171552,237342,-1.0707881135,1.1449656141,9.8476614103,141
105819,171559,237364,-1.1736794853,1.1425727915,9.8321080634,142
105712,171540,237318,-1.0971091621,1.0360921858,9.8285188295,143
105132,171381,237343,-1.1521440819,1.0923235169,9.767501853199999,144
104430,171402,237268,-1.1545369045,1.184447187,9.7770731436,145
103758,171319,237181,-1.2191431147,1.2358928729,9.8548398781,146
103219,171283,237134,-1.2466605746,1.2394821068,9.8931250397,147
102817,171206,237060,-1.2251251712,1.07677017,9.8153583052,148
102548,171196,237053,-1.1904292435000001,1.3112667848,9.8189475391,149
102532,171206,237007,-1.2131610582,1.2191431147,9.7794659662,150
102597,171171,237041,-1.2047861791,0.9427721043999999,9.7938229018,151
102860,171198,237012,-1.2191431147,1.0600204118,9.7842516114,152
102920,171211,237024,-1.2622139215000001,1.1581261384000001,9.812965482600001,153
103079,171201,237031,-1.3268201317000001,1.2155538808,9.8560362894,154
103225,171208,237044,-1.1413763801999999,1.1437692028,9.7399843933,155
103396,171233,237032,-1.1892328322,1.1772687192,9.869196813699999,156
103592,171266,237025,-1.0863414604,1.172483074,9.8368937086,157
103771,171214,237067,-1.1641081949,1.1856435983,9.767501853199999,158
103985,171149,237046,-1.1593225497000001,1.0707881135,9.7160561673,159
104180,171255,237069,-1.1796615418,0.9918249677,9.8452685877,160
104385,171275,237088,-1.2167502921,1.2717852119000002,9.822536773,161
104615,171318,237091,-1.2227323486,1.2155538808,9.9409814917,162
104760,171272,237092,-1.1557333158,1.1760723079,9.8739824589,163
104915,171311,237076,-1.1078768638,1.2095718243,9.7842516114,164
105207,171288,237093,-1.136590735,1.2885349701,9.8751788702,165
105372,171323,237096,-1.2131610582,1.1940184774,9.821340361699999,166
105545,171335,237087,-1.1461620254,1.2586246876,9.894321451,167
105450,171338,237078,-1.0875378717,1.2717852119000002,9.955338427300001,168
104795,171243,237050,-1.184447187,1.1916256548,9.8368937086,169
104107,171189,237013,-1.1533404932,1.4261222696,9.8153583052,170
103403,171119,236910,-1.2035897678,1.1653046062,9.6825566509,171
102869,171069,236852,-1.1808579531,1.2311072277,9.846464999,172
102492,171002,236821,-1.2394821068,1.1198409768,9.8835537493,173
102268,170974,236824,-1.0444670649,1.220339526,9.7722874984,174
102262,170983,236804,-1.184447187,1.3339985995,9.8644111685,175
102391,170973,236797,-1.0827522265,1.3842478741,9.8057870148,176
102550,171014,236835,-1.0779665813,1.2035897678,9.738787982,177
102675,171014,236863,-1.1114660977,1.2430713407,9.8010013696,178
102791,171056,236831,-1.1676974288,1.3124631961,9.8177511278,179
102845,171048,236909,-1.1282158559,1.3555340029,9.7890372566,180
103035,171105,236919,-1.1258230332999999,1.2059825904,9.7651090306,181
103159,171129,236928,-1.0396814197,1.2358928729,9.812965482600001,182
103311,171177,237002,-1.1832507757,1.2382856955,9.798608546999999,183
103469,171210,237024,-1.1234302107,1.1341979124,9.7938229018,184
103616,171141,236995,-1.1162517428999998,1.1796615418,9.9122676205,185
103816,171250,237037,-1.1425727915,1.2574282763000002,9.8201439504,186
103932,171272,237070,-1.0540383553,1.1940184774,9.894321451,187
104083,171261,237098,-1.1114660977,1.1784651305,9.7698946758,188
104221,171305,237185,-1.1114660977,1.1784651305,9.7698946758,189
104379,171329,237172,-1.1114660977,1.1784651305,9.7698946758,190
104506,171342,237151,-1.1114660977,1.1784651305,9.7698946758,191
104621,171335,237202,-1.1114660977,1.1784651305,9.7698946758,192
104344,171331,237185,-1.1114660977,1.1784651305,9.7698946758,193
103628,171315,237172,-1.1114660977,1.1784651305,9.7698946758,194
102774,171180,237115,-1.1114660977,1.1784651305,9.7698946758,195
102002,171158,237055,-1.1114660977,1.1784651305,9.7698946758,196
101401,171065,236969,-1.1114660977,1.1784651305,9.7698946758,197
100934,171056,236929,-1.1114660977,1.1784651305,9.7698946758,198
100659,171023,236967,-1.1114660977,1.1784651305,9.7698946758,199
100605,171000,236917,-1.1114660977,1.1784651305,9.7698946758,200
100697,171042,236939,-1.1114660977,1.1784651305,9.7698946758,201
100852,171016,236973,-1.1114660977,1.1784651305,9.7698946758,202
100982,171031,236972,-1.1114660977,1.1784651305,9.7698946758,203
101115,171074,236988,-1.1114660977,1.1784651305,9.7698946758,204
101245,171068,236972,-1.1114660977,1.1784651305,9.7698946758,205
101409,171111,237025,-1.1114660977,1.1784651305,9.7698946758,206
101566,171155,236996,-1.1114660977,1.1784651305,9.7698946758,207
101754,171111,237047,-1.1114660977,1.1784651305,9.7698946758,208
101935,171165,237054,-1.1114660977,1.1784651305,9.7698946758,209
102134,171160,237098,-1.1114660977,1.1784651305,9.7698946758,210
102315,171219,237096,-1.1114660977,1.1784651305,9.7698946758,211
102528,171243,237130,-1.1114660977,1.1784651305,9.7698946758,212
102691,171253,237113,-1.1114660977,1.1784651305,9.7698946758,213
102888,171252,237174,-1.1114660977,1.1784651305,9.7698946758,214
103093,171239,237134,-1.1114660977,1.1784651305,9.7698946758,215
103247,171319,237173,-1.1114660977,1.1784651305,9.7698946758,216
103431,171314,237175,-1.1114660977,1.1784651305,9.7698946758,217
103492,171297,237187,-1.1114660977,1.1784651305,9.7698946758,218
103139,171266,237191,-1.1114660977,1.1784651305,9.7698946758,219
102370,171175,237128,-1.1114660977,1.1784651305,9.7698946758,220
101517,171155,237061,-1.1114660977,1.1784651305,9.7698946758,221
100783,171035,236980,-1.1114660977,1.1784651305,9.7698946758,222
100237,170980,236992,-1.1114660977,1.1784651305,9.7698946758,223
99860,170930,236927,-1.1114660977,1.1784651305,9.7698946758,224
99658,170948,236892,-1.1114660977,1.1784651305,9.7698946758,225
99668,170965,236928,-1.1114660977,1.1784651305,9.7698946758,226
99839,170991,236901,-1.1114660977,1.1784651305,9.7698946758,227
100014,171006,236901,-1.1114660977,1.1784651305,9.7698946758,228
100194,170975,236927,-1.1114660977,1.1784651305,9.7698946758,229
101939,171176,237097,-1.1138589203,1.1413763801999999,9.7351987481,230
102151,171175,237103,-1.1138589203,1.1413763801999999,9.7351987481,231
102331,171196,237138,-1.1138589203,1.1413763801999999,9.7351987481,232
102546,171191,237181,-1.1138589203,1.1413763801999999,9.7351987481,233
102756,171229,237141,-1.1138589203,1.1413763801999999,9.7351987481,234
102948,171223,237202,-1.1138589203,1.1413763801999999,9.7351987481,235
103059,171250,237191,-1.1138589203,1.1413763801999999,9.7351987481,236
102743,171214,237118,-1.1138589203,1.1413763801999999,9.7351987481,237
102012,171164,237095,-1.1138589203,1.1413763801999999,9.7351987481,238
101160,171087,237058,-1.1138589203,1.1413763801999999,9.7351987481,239
100516,171019,237025,-1.1138589203,1.1413763801999999,9.7351987481,240
100019,170981,236945,-1.1138589203,1.1413763801999999,9.7351987481,241
99681,170949,236936,-1.1138589203,1.1413763801999999,9.7351987481,242
99525,170938,236875,-1.1138589203,1.1413763801999999,9.7351987481,243
99574,170920,236914,-1.1138589203,1.1413763801999999,9.7351987481,244
99778,170951,236929,-1.1138589203,1.1413763801999999,9.7351987481,245
99979,170972,236930,-1.1138589203,1.1413763801999999,9.7351987481,246
100160,170973,236982,-1.1138589203,1.1413763801999999,9.7351987481,247
100328,170996,237035,-1.1138589203,1.1413763801999999,9.7351987481,248
100501,171034,237018,-1.1138589203,1.1413763801999999,9.7351987481,249
100703,171061,237011,-1.1138589203,1.1413763801999999,9.7351987481,250
100881,171048,237091,-1.1138589203,1.1413763801999999,9.7351987481,251
101079,171060,237081,-1.1138589203,1.1413763801999999,9.7351987481,252
101289,171116,237062,-1.1138589203,1.1413763801999999,9.7351987481,253
101498,171114,237111,-1.1138589203,1.1413763801999999,9.7351987481,254
101726,171120,237120,-1.1138589203,1.1413763801999999,9.7351987481,255
101940,171153,237111,-1.1832507757,1.1413763801999999,9.7603233854,256
102164,171166,237130,-1.1832507757,1.1413763801999999,9.7603233854,257
102391,171165,237115,-1.1832507757,1.1413763801999999,9.7603233854,258
102598,171218,237153,-1.1832507757,1.1413763801999999,9.7603233854,259
102840,171206,237189,-1.1832507757,1.1413763801999999,9.7603233854,260
103074,171247,237210,-1.1832507757,1.1413763801999999,9.7603233854,261
103245,171228,237210,-1.1700902514,1.0671988796,9.8321080634,262
103128,171216,237130,-1.1353943237,1.1665010175000001,9.8620183459,263
102540,171167,237137,-1.160518961,1.1856435983,9.888339394499999,264
101826,171082,237047,-1.1964113,1.2717852119000002,9.888339394499999,265
101242,170975,236975,-1.0995019847,1.1952148887,9.8249295956,266
100834,170967,236945,-1.1748758966000001,1.2382856955,9.888339394499999,267
100608,170967,236905,-1.0325029519,1.2514462198,9.8763752815,268
100470,170872,236846,-1.2179467034,1.0636096457,9.7914300792,269
100571,170907,236870,-1.2933206153,1.0959127508,9.7818587888,270
100722,170896,236878,-1.1150553316,1.2263215825,9.8739824589,271
101067,170958,236874,-1.1341979124,1.1629117836,9.9314102013,272
101188,170911,236853,-1.208375413,1.3363914221,9.9290173787,273
101429,170927,236904,-1.2155538808,1.2526426310999998,9.7938229018,274
101642,170940,236861,-1.136590735,1.2394821068,9.8715896363,275
101859,170883,236830,-1.0061819033000001,1.1246266219999999,9.6323073763,276
102091,170939,236874,-1.172483074,1.2717852119000002,9.7292166916,277
102291,170981,236873,-0.9726823869,1.2538390423999999,9.808179837399999,278
102452,171014,236918,-1.3124631961,1.160518961,9.945767136899999,279
102532,171004,236927,-1.1150553316,1.2837493249,9.8033941922,280
102534,171113,237038,-1.1964113,1.2370892842,9.762716208,281
102484,171161,237081,-1.256231865,1.2873385588,9.7722874984,282
102417,171279,237188,-1.3220344865,1.2059825904,9.7794659662,283
102240,171380,237296,-1.1820543644000001,1.4751751328999998,9.738787982,284
102136,171446,237405,-1.2095718243,1.4488540843,9.8596255233,285
102069,171555,237474,-1.1054840412,1.6067803759000001,9.6526463684,286
102091,171588,237480,-1.2035897678,1.4859428346,9.757930562799999,287
102025,171617,237503,-1.1796615418,1.5373885205000002,9.7962157244,288
101619,171558,237436,-1.1581261384000001,1.5565311013,9.710074110799999,289
101229,171478,237371,-1.1533404932,1.4787643668000001,9.857232700700001,290
100680,171404,237298,-1.0971091621,1.5326028753,9.8237331843,291
100366,171390,237273,-1.2071790017,1.5517454561000001,9.7040920543,292
100141,171363,237242,-1.1018948073,1.3830514628000001,9.741180804599999,293
100049,171346,237170,-1.1401799688999998,1.4967105363,9.8380901199,294
100053,171357,237253,-1.0695917021999999,1.4333007374,9.6574320136,295
100113,171383,237288,-1.2035897678,1.5110674719,9.678967417,296
100158,171449,237365,-1.3399806559999998,1.4679966650999998,9.8021977809,297
100144,171546,237486,-1.1413763801999999,1.483550012,9.7483592724,298
100016,171663,237578,-1.1676974288,1.6677973521999998,9.7016992317,299
99904,171742,237711,-1.1521440819,1.639083481,9.714859756,300
99824,171831,237783,-1.2418749294,1.6869399330000001,9.714859756,301
99793,171744,237813,-1.1976077113,1.6438691261999998,9.7734839097,302
99983,171793,237672,-1.3244273091,1.6127624323999998,9.8368937086,303
100312,171632,237487,-1.2873385588,1.5158531170999998,9.7088776995,304
100901,171652,237499,-1.2514462198,1.5086746492999998,9.8715896363,305
101290,171535,237432,-1.2370892842,1.3651052933,9.786644434,306
101814,171533,237369,-1.2681959779999998,1.3160524299999998,9.839286531199999,307
102262,171483,237323,-1.3339985995,1.4991033588999998,9.7555377402,308
102637,171505,237316,-1.2957134379000002,1.3842478741,9.7124669334,309
102968,171503,237349,-1.2957134379000002,1.3842478741,9.7124669334,310
103233,171519,237383,-1.2957134379000002,1.3842478741,9.7124669334,311
103488,171554,237418,-1.2957134379000002,1.3842478741,9.7124669334,312
103646,171574,237413,-1.2957134379000002,1.3842478741,9.7124669334,313
103462,171516,237422,-1.2957134379000002,1.3842478741,9.7124669334,314
102910,171516,237369,-1.2957134379000002,1.3842478741,9.7124669334,315
102246,171448,237297,-1.2957134379000002,1.3842478741,9.7124669334,316
101658,171368,237234,-1.2957134379000002,1.3842478741,9.7124669334,317
101213,171368,237195,-1.2957134379000002,1.3842478741,9.7124669334,318
100888,171294,237160,-1.2957134379000002,1.3842478741,9.7124669334,319
100726,171262,237119,-1.2957134379000002,1.3842478741,9.7124669334,320
100740,171266,237136,-1.2957134379000002,1.3842478741,9.7124669334,321
100874,171284,237148,-1.2957134379000002,1.3842478741,9.7124669334,322
101016,171297,237134,-1.2957134379000002,1.3842478741,9.7124669334,323
101159,171299,237145,-1.2957134379000002,1.3842478741,9.7124669334,324
101289,171324,237140,-1.2957134379000002,1.3842478741,9.7124669334,325
101433,171344,237152,-1.2957134379000002,1.3842478741,9.7124669334,326
101601,171341,237158,-1.2957134379000002,1.3842478741,9.7124669334,327
101781,171356,237180,-1.2957134379000002,1.3842478741,9.7124669334,328
101953,171359,237199,-1.2957134379000002,1.3842478741,9.7124669334,329
102136,171412,237254,-1.2957134379000002,1.3842478741,9.7124669334,330
102312,171403,237254,-1.2957134379000002,1.3842478741,9.7124669334,331
102500,171428,237292,-1.2957134379000002,1.3842478741,9.7124669334,332
102689,171478,237290,-1.2957134379000002,1.3842478741,9.7124669334,333
102876,171454,237320,-1.2957134379000002,1.3842478741,9.7124669334,334
103050,171491,237329,-1.2957134379000002,1.3842478741,9.7124669334,335
103247,171507,237313,-1.2957134379000002,1.3842478741,9.7124669334,336
103410,171521,237362,-1.2957134379000002,1.3842478741,9.7124669334,337
103599,171542,237390,-1.2957134379000002,1.3842478741,9.7124669334,338
103676,171569,237329,-1.2957134379000002,1.3842478741,9.7124669334,339
103394,171516,237332,-1.2957134379000002,1.3842478741,9.7124669334,340
102779,171483,237300,-1.2957134379000002,1.3842478741,9.7124669334,341
102099,171410,237240,-1.2957134379000002,1.3842478741,9.7124669334,342
101470,171317,237188,-1.2957134379000002,1.3842478741,9.7124669334,343
100987,171348,237144,-1.2957134379000002,1.3842478741,9.7124669334,344
100650,171290,237148,-1.2957134379000002,1.3842478741,9.7124669334,345
100465,171256,237117,-1.2957134379000002,1.3842478741,9.7124669334,346
100469,171286,237085,-1.2957134379000002,1.3842478741,9.7124669334,347
100602,171264,237096,-1.2957134379000002,1.3842478741,9.7124669334,348
100744,171228,237091,-1.2957134379000002,1.3842478741,9.7124669334,349
100896,171281,237102,-1.2957134379000002,1.3842478741,9.7124669334,350
100272,171255,237091,-1.1473584366999998,1.2897313814,9.7902336679,351
100153,171242,237066,-1.1473584366999998,1.2897313814,9.7902336679,352
100225,171208,237058,-1.1473584366999998,1.2897313814,9.7902336679,353
100365,171234,237057,-1.1473584366999998,1.2897313814,9.7902336679,354
100531,171253,237044,-1.1473584366999998,1.2897313814,9.7902336679,355
100680,171286,237100,-1.1473584366999998,1.2897313814,9.7902336679,356
100812,171302,237114,-1.1473584366999998,1.2897313814,9.7902336679,357
100982,171281,237140,-1.1473584366999998,1.2897313814,9.7902336679,358
101170,171305,237134,-1.1473584366999998,1.2897313814,9.7902336679,359
101354,171324,237103,-1.1473584366999998,1.2897313814,9.7902336679,360
101535,171317,237144,-1.1473584366999998,1.2897313814,9.7902336679,361
101739,171317,237132,-1.1473584366999998,1.2897313814,9.7902336679,362
101951,171352,237182,-1.1473584366999998,1.2897313814,9.7902336679,363
102130,171378,237184,-1.1473584366999998,1.2897313814,9.7902336679,364
102354,171349,237125,-1.1473584366999998,1.2897313814,9.7902336679,365
102541,171394,237189,-1.1473584366999998,1.2897313814,9.7902336679,366
102746,171416,237175,-1.1473584366999998,1.2897313814,9.7902336679,367
102958,171421,237138,-1.1473584366999998,1.2897313814,9.7902336679,368
103159,171382,237160,-1.1473584366999998,1.2897313814,9.7902336679,369
103336,171423,237155,-1.1473584366999998,1.2897313814,9.7902336679,370
103274,171427,237178,-1.1473584366999998,1.2897313814,9.7902336679,371
102821,171358,237144,-1.1473584366999998,1.2897313814,9.7902336679,372
102169,171235,237068,-1.1473584366999998,1.2897313814,9.7902336679,373
101554,171206,237031,-1.1473584366999998,1.2897313814,9.7902336679,374
101101,171183,236971,-1.1473584366999998,1.2897313814,9.7902336679,375
100758,171119,236930,-1.1473584366999998,1.2897313814,9.7902336679,376
100599,171120,236884,-1.1473584366999998,1.2897313814,9.7902336679,377
100635,171109,236861,-1.1473584366999998,1.2897313814,9.7902336679,378
100780,171089,236867,-1.1473584366999998,1.2897313814,9.7902336679,379
100975,171118,236894,-1.1473584366999998,1.2897313814,9.7902336679,380
101141,171133,236872,-1.1473584366999998,1.2897313814,9.7902336679,381
101291,171143,236859,-1.1473584366999998,1.2897313814,9.7902336679,382
101463,171140,236882,-1.1473584366999998,1.2897313814,9.7902336679,383
101638,171150,236892,-1.1473584366999998,1.2897313814,9.7902336679,384
101835,171199,236896,-1.1473584366999998,1.2897313814,9.7902336679,385
102036,171224,236958,-1.1473584366999998,1.2897313814,9.7902336679,386
102221,171233,236930,-1.1473584366999998,1.2897313814,9.7902336679,387
102400,171241,236990,-1.1473584366999998,1.2897313814,9.7902336679,388
102584,171283,236992,-1.1473584366999998,1.2897313814,9.7902336679,389
102754,171304,237057,-1.1473584366999998,1.2897313814,9.7902336679,390
102903,171325,237064,-1.1473584366999998,1.2897313814,9.7902336679,391
103066,171328,237116,-1.1473584366999998,1.2897313814,9.7902336679,392
101409,171425,237224,-1.2227323486,1.1665010175000001,9.8093762487,393
100685,171349,237186,-1.2227323486,1.1665010175000001,9.8093762487,394
99993,171283,237159,-1.2227323486,1.1665010175000001,9.8093762487,395
99425,171248,237115,-1.2227323486,1.1665010175000001,9.8093762487,396
99010,171193,237099,-1.2227323486,1.1665010175000001,9.8093762487,397
98732,171197,237024,-1.2227323486,1.1665010175000001,9.8093762487,398
98593,171193,237031,-1.1832507757,1.3686945272,9.7878408453,399
98683,171196,237050,-1.1832507757,1.3686945272,9.7878408453,400
98856,171202,237044,-1.1832507757,1.3686945272,9.7878408453,401
99096,171184,237047,-1.1832507757,1.3686945272,9.7878408453,402
99308,171191,237076,-1.1832507757,1.3686945272,9.7878408453,403
99547,171195,237068,-1.1832507757,1.3686945272,9.7878408453,404
99773,171204,237099,-1.1832507757,1.3686945272,9.7878408453,405
100026,171209,237113,-1.1832507757,1.3686945272,9.7878408453,406
100276,171233,237109,-1.1832507757,1.3686945272,9.7878408453,407
100521,171290,237088,-1.1832507757,1.3686945272,9.7878408453,408
100769,171287,237139,-1.1832507757,1.3686945272,9.7878408453,409
101047,171295,237153,-1.1832507757,1.3686945272,9.7878408453,410
101322,171293,237109,-1.1832507757,1.3686945272,9.7878408453,411
101587,171303,237148,-1.1832507757,1.3686945272,9.7878408453,412
